category,count
Pablo Picasso,54
Jacob Lawrence,30
Henri Matisse,30
Jean Dubuffet,25
Odilon Redon,24
Philip Guston,23
Frank Stella,22
Joan Miró,19
Jackson Pollock,18
Gerhard Richter,18
Piet Mondrian,16
Fernand Léger,15
Andy Warhol,15
Giorgio de Chirico,14
Sherrie Levine,13
Richard Pettibone,13
Paul Klee,13
Jasper Johns,12
Yves Tanguy,11
Ellsworth Kelly,11
Roy Lichtenstein,10
Mark Rothko,10
Georges Braque,10
Ad Reinhardt,10
Willem de Kooning,9
Robert Ryman,9
Robert Rauschenberg,9
Robert Motherwell,9
Paul Cézanne,9
Multiple Artists,9
Max Ernst,9
Francis Picabia,9
André Masson,9
André Derain,9
Agnes Martin,9
Adolph Gottlieb,9
Morris Hirshfield,8
Marcel Duchamp,8
László Moholy-Nagy,8
Arshile Gorky,8
Alejandro Otero,8
Vasily Kandinsky,7
Umberto Boccioni,7
René Magritte,7
R. H. Quaytman,7
Marcel Broodthaers,7
Kazimir Malevich,7
Joaquín Torres-García,7
Edward Ruscha,7
Barnett Newman,7
Tom Wesselmann,6
Susan Rothenberg,6
Stuart Davis,6
Sigmar Polke,6
Roberto Matta,6
Richard Artschwager,6
Lygia Clark,6
Josh Smith,6
Joan Mitchell,6
Elizabeth Murray,6
David Alfaro Siqueiros,6
Cy Twombly,6
Brice Marden,6
Alberto Giacometti,6
Al Held,6
Ulrike Müller,5
Richard Pousette-Dart,5
Peter Blume,5
On Kawara,5
Neil Jenney,5
Mira Schendel,5
Lyonel Feininger,5
Luc Tuymans,5
Larry Rivers,5
Juan Gris,5
Josef Albers,5
John Walker,5
John Kane,5
Jim Dine,5
Jesús Rafael Soto,5
James Rosenquist,5
Jacques Villon,5
Helen Frankenthaler,5
Hans Hofmann,5
František Kupka,5
Francis Bacon,5
Eugene Berman,5
Claude Monet,5
Chuck Close,5
Ben Vautier,5
Anselm Kiefer,5
Alex Katz,5
Willys de Castro,4
Vija Celmins,4
Theodoros Stamos,4
Theo van Doesburg,4
Salvador Dalí,4
Rufino Tamayo,4
Robert Mangold,4
Richard Tuttle,4
Pierre Bonnard,4
Pavel Tchelitchew,4
Oskar Kokoschka,4
Michael Krebber,4
Max Beckmann,4
Marc Chagall,4
Lynette Yiadom-Boakye,4
Loren MacIver,4
José Clemente Orozco,4
Jake Berthot,4
Giacomo Balla,4
Gerd Leufert,4
Georgia O'Keeffe,4
Georges-Pierre Seurat,4
Franz Kline,4
Francis Alÿs,4
Edward Hopper,4
Édouard Vuillard,4
Diego Rivera,4
Daniel Buren,4
Chris Ofili,4
Chaim Soutine,4
Batiste Madalena,4
Balthus (Baltusz Klossowski de Rola),4
Auguste Herbin,4
Alfred Jensen,4
Willi Baumeister,3
Vincent van Gogh,3
Victor Vasarely,3
Victor Brauner,3
Thomas Nozkowski,3
Stanton Macdonald-Wright,3
Sergej Jensen,3
Sean Scully,3
Sam Francis,3
Robert Delaunay,3
Richard Hamilton,3
Richard Diebenkorn,3
Richard Aldrich,3
Pierre Roy,3
Philip Pearlstein,3
Peter Doig,3
Paul Gauguin,3
Pat Steir,3
Otto Dix,3
Norman Lewis,3
Niles Spencer,3
Morris Louis,3
Morgan Russell,3
Mel Bochner,3
Max Weber,3
Marlene Dumas,3
Louis Michel Eilshemius,3
Leonid (Leonid Berman),3
Lee Krasner,3
Kenneth Noland,3
Karel Appel,3
Kai Althoff,3
Jules Olitski,3
Joseph Stella,3
John D. Graham,3
John Baldessari,3
Joe Bradley,3
Jo Baer,3
Jennifer Bartlett,3
Jean Hélion,3
Jean (Hans) Arp,3
Jack Whitten,3
Hélio Oiticica,3
Gwen John,3
Grace Hartigan,3
Giorgio Morandi,3
Gino Severini,3
Geta Brătescu,3
George Grosz,3
George Condo,3
Georg Baselitz,3
Frida Kahlo,3
Eva Hesse,3
Emil Nolde,3
Elizabeth Peyton,3
Dorothea Tanning,3
Dorothea Rockburne,3
Chéri Samba,3
Carlos Cruz-Diez,3
Burgoyne Diller,3
Bradley Walker Tomlin,3
Blinky Palermo,3
Ben Nicholson,3
Attilio Salemme,3
Arthur Dove,3
