ObjectID,Title,Artist,ArtistCount,ArtistBio,Country,Gender,Date,Medium,Dimensions,URL,ThumbnailURL,rgbString,sum,r,g,b
79180,Fishing Boat,Odilon Redon,24,"French, 1840–1916",France,Male,1875,Oil on canvas mounted on canvas,"6 5/8 x 8 5/8"" (16.8 x 21.9 cm)","""http://www.moma.org/collection/works/79180""",https://www.moma.org/media/W1siZiIsIjE1MTExNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3268885e192b28e2,"rgb(162,166,145)",473,162,166,145
79224,"Landscape with Rocks, near Royan",Odilon Redon,24,"French, 1840–1916",France,Male,1875,Oil over black chalk on gray cardstock mounted on tan board,"8 3/8 x 10 1/2"" (21.3 x 26.7 cm)","""http://www.moma.org/collection/works/79224""",https://www.moma.org/media/W1siZiIsIjE1MTE0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4f96a47eb2aad3da,"rgb(56,36,25)",117,56,36,25
79175,Apache (Man on Horseback II),Odilon Redon,24,"French, 1840–1916",France,Male,1875,Oil on tan wove paper mounted on tan board,"9 1/8 x 12 3/4"" (23.2 x 32.4 cm)","""http://www.moma.org/collection/works/79175""",https://www.moma.org/media/W1siZiIsIjE1MTExMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2e35a8978cd7c405,"rgb(118,141,118)",377,118,141,118
79214,Rocky Peak,Odilon Redon,24,"French, 1840–1916",France,Male,1875,Oil on cream wove cardstock mounted on board mounted on wood,"9 3/4 x 13"" (24.8 x 33 cm)","""http://www.moma.org/collection/works/79214""",https://www.moma.org/media/W1siZiIsIjE1MTEzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=55f8b39493ee5ac1,"rgb(123,106,84)",313,123,106,84
79173,Apache (Man on Horseback),Odilon Redon,24,"French, 1840–1916",France,Male,1875,Oil over traces of black chalk on tan cardstock mounted on canvas,"9 7/8 x 12 3/4"" (25.1 x 32.4 cm)","""http://www.moma.org/collection/works/79173""",https://www.moma.org/media/W1siZiIsIjE1MTEwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f3aad1ecedf7a25c,"rgb(131,124,70)",325,131,124,70
79219,The Rocky Slope,Odilon Redon,24,"French, 1840–1916",France,Male,1875,Oil over black chalk on tan cardstock mounted on canvas,"9 7/8 x 12 7/8"" (25.1 x 32.7 cm)","""http://www.moma.org/collection/works/79219""",https://www.moma.org/media/W1siZiIsIjE1MTEzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e727b19542a9d42c,"rgb(169,172,164)",505,169,172,164
78670,Still Life with Fruit Dish,Paul Cézanne,9,"French, 1839–1906",France,Male,1879,Oil on canvas,"18 1/4 x 21 1/2"" (46.4 x 54.6 cm)","""http://www.moma.org/collection/works/78670""",https://www.moma.org/media/W1siZiIsIjQ2ODkwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b71a351dc2c06178,"rgb(58,86,91)",235,58,86,91
80302,L'Estaque,Paul Cézanne,9,"French, 1839–1906",France,Male,1879,Oil on canvas,"31 1/2 x 39"" (80.3 x 99.4 cm)","""http://www.moma.org/collection/works/80302""",https://www.moma.org/media/W1siZiIsIjM5MTE5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=154988fdade7b87f,"rgb(58,61,62)",181,58,61,62
79549,"On the Cliff at Pourville, Clear Weather",Claude Monet,5,"French, 1840–1926",France,Male,1882,Oil on canvas,"25 1/2 x 31 3/4"" (64.7 x 80.7 cm)","""http://www.moma.org/collection/works/79549""",https://www.moma.org/media/W1siZiIsIjI0MjQwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=56dd0159d7907dfc,"rgb(137,163,150)",450,137,163,150
79229,Rocks on the Beach,Odilon Redon,24,"French, 1840–1916",France,Male,1883,Oil on paper mounted on canvas,"10 1/4 x 14 1/4"" (26 x 36.2 cm)","""http://www.moma.org/collection/works/79229""",https://www.moma.org/media/W1siZiIsIjE1MTE0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=73994b91cc44e30b,"rgb(160,142,118)",420,160,142,118
79179,Trees in the Blue Sky,Odilon Redon,24,"French, 1840–1916",France,Male,1883,Oil over traces of graphite on light-brown wove paper mounted on board,"11 7/8 x 9 1/2"" (30.2 x 24.1 cm)","""http://www.moma.org/collection/works/79179""",https://www.moma.org/media/W1siZiIsIjE1MTExNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7e97322b9bbc985b,"rgb(138,109,67)",314,138,109,67
79409,"Grandcamp, Evening",Georges-Pierre Seurat,4,"French, 1859–1891",France,Male,1885,Oil on canvas,"26 x 32 1/2"" (66.2 x 82.4 cm)","""http://www.moma.org/collection/works/79409""",https://www.moma.org/media/W1siZiIsIjE1OTIwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=274115d55c828d84,"rgb(194,189,181)",564,194,189,181
78296,The Bather,Paul Cézanne,9,"French, 1839–1906",France,Male,1885,Oil on canvas,"50 x 38 1/8"" (127 x 96.8 cm)","""http://www.moma.org/collection/works/78296""",https://www.moma.org/media/W1siZiIsIjQ0NjA2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9242de31ff2c065c,"rgb(98,117,125)",340,98,117,125
79333,"Evening, Honfleur",Georges-Pierre Seurat,4,"French, 1859–1891",France,Male,1886,"Oil on canvas, with painted wood frame","30 3/4 x 37"" (78.3 x 94 cm) including frame","""http://www.moma.org/collection/works/79333""",https://www.moma.org/media/W1siZiIsIjQ1NjM4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3e67079f54792c75,"rgb(201,199,184)",584,201,199,184
78843,Iron Bridges at Asnières,Émile Bernard,1,"French, 1868–1941",France,Male,1887,Oil on canvas,"18 1/8 x 21 3/8"" (45.9 x 54.2 cm)","""http://www.moma.org/collection/works/78843""",https://www.moma.org/media/W1siZiIsIjE1MDk3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8f81ad0f0d5e6aaf,"rgb(170,170,154)",494,170,170,154
80683,Tribulations of Saint Anthony,James Ensor,2,"Belgian, 1860–1949",Belgium,Male,1887,Oil on canvas,"46 3/8 x 66"" (117.8 x 167.6 cm)","""http://www.moma.org/collection/works/80683""",https://www.moma.org/media/W1siZiIsIjE0OTgzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=96be6f73891d0269,"rgb(173,172,171)",516,173,172,171
78912,"Port-en-Bessin, Entrance to the Harbor",Georges-Pierre Seurat,4,"French, 1859–1891",France,Male,1888,Oil on canvas,"21 5/8 x 25 5/8"" (54.9 x 65.1 cm)","""http://www.moma.org/collection/works/78912""",https://www.moma.org/media/W1siZiIsIjE1MTAwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f873d4d3c9819b1e,"rgb(180,180,153)",513,180,180,153
79086,Boy in a Red Vest,Paul Cézanne,9,"French, 1839–1906",France,Male,1888,Oil on canvas,"32 x 25 5/8"" (81.2 x 65 cm)","""http://www.moma.org/collection/works/79086""",https://www.moma.org/media/W1siZiIsIjQ1NTQ2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dae240dc5d2ff554,"rgb(58,64,66)",188,58,64,66
79855,Masks Confronting Death,James Ensor,2,"Belgian, 1860–1949",Belgium,Male,1888,Oil on canvas,"32 x 39 1/2"" (81.3 x 100.3 cm)","""http://www.moma.org/collection/works/79855""",https://www.moma.org/media/W1siZiIsIjE0OTgzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=63d2510345db1bef,"rgb(207,205,202)",614,207,205,202
78616,Still Life with Three Puppies,Paul Gauguin,3,"French, 1848–1903",France,Male,1888,Oil on wood,"36 1/8 x 24 5/8"" (91.8 x 62.6 cm)","""http://www.moma.org/collection/works/78616""",https://www.moma.org/media/W1siZiIsIjE1MTM0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a2f7b64bc32f8087,"rgb(207,202,185)",594,207,202,185
