category,count
United States,1030
France,274
Germany,122
Spain,91
United Kingdom,68
Italy,66
Brazil,41
Netherlands,34
Belgium,33
Venezuela,33
Russia,30
Argentina,27
Mexico,27
Switzerland,20
Japan,19
Austria,15
Canada,13
Multiple Countries,13
Uruguay,11
Chile,8
Cuba,8
Israel,7
Poland,6
Romania,6
Colombia,5
Czechoslovakia,5
Democratic Republic of Congo,5
Denmark,5
Haiti,5
Korea,5
Australia,4
India,4
Peru,4
Hungary,3
South Africa,3
Sweden,3
Croatia,2
Iceland,2
Iran,2
Ireland,2
Turkey,2
Yugoslavia,2
Zimbabwe,2
Bolivia,1
Guatemala,1
Guyana,1
Lebanon,1
Morocco,1
Nicaragua,1
Norway,1
Slovenia,1
Sudan,1
Tanzania,1
Ukraine,1
