School,City,State,Operator,Address,Latitude,Longitude,County,Income,category
Ahfachkee Day School,Clewiston,Florida,Tribally-Operated,"30290 Josie Billie Hwy PMB 1005 33440, Clewiston, FL",26.317273,-80.9881059,Hendry,40657,below
Alamo Navajo Community School,Magdalena,New Mexico,Tribally-Operated,"201 Duggins Dr, Magdalena, NM 87825",34.1174843,-107.2352081,Socorro,44076,below
American Horse School,Allen,South Dakota,Tribally-Operated,"P.O 660 Allen, SD 57714 US",43.2800299,-101.9260676,Bennett,40282,below
Aneth Community School,Montezuma Creek,Utah,BIE-Operated,"P.O. Box 600 Montezuma Creek, UT 84534",37.2605283,-109.3073873,San Juan,46615,below
Atsa'Biya'a'zh Community School,Shiprock,New Mexico,Tribally-Operated,"P.O. Box 1809, Shiprock, NM 87420",36.7855543,-108.6870322,San Juan,57715,above
Baca/Dlo'ay Azhi Community School,Prewitt,New Mexico,BIE-Operated,"P.O. Box 509 Prewitt, NM 87045",35.3658879,-108.053796,McKinley,36109,below
Beatrice Rafferty School,Perry,Maine,Tribally-Operated,"22 Bayview Dr. Perry, ME 04667",44.9570327,-67.0406495,Washington County,45117,below
Beclabito Day School,Shiprock,New Mexico,BIE-Operated,"P.O. Box 1200 Shiprock, NM 87420",36.8052452,-108.6913721,San Juan,57715,above
Black Mesa Community School,Pinon,Arizona,Tribally-Operated,"P.O. Box 97, Pinon, AZ 86510",36.101061,-110.222772,Navajo,43516,below
Blackwater Community School,Coolidge,Arizona,Tribally-Operated,"3652 E. Blackwater School Rd. Coolidge, AZ 85128",33.0317368,-111.5800022,Pinal,55282,above
Bogue Chitto Elementary School,Philadelphia,Mississippi,Tribally-Operated,"13241 Highway 491, Philadelphia, MS 39350",32.8328033,-88.9299373,Neshoba,41449,below
Bread Springs Day School,Gallup,New Mexico,BIE-Operated,"P.O. Box 1117, Gallup, NM",35.5280783,-108.7425843,McKinley,36109,below
Bug-O-Nay-Ge-Shig School,Bena,Minnesota,Tribally-Operated,"15353 Silver Eagle Dr. NW, Bena, MN 56626",47.363064,-94.3076449,Cass,53277,below
Casa Blanca Community School,Bapchule,Arizona,Tribally-Operated,"P.O. Box 10940, Bapchule, AZ 85121",33.1175337,-111.8860664,Pinal,55282,above
Ch'ooshgai Community School,Tohatchi,New Mexico,Tribally-Operated,"P.O. Box 321, Tohatchi, NM 87325",35.8589789,-108.7614197,McKinley,36109,below
Chemawa Indian School,Salem,Oregon,BIE-Operated,"3700 Chemawa Rd. NE, Salem, OR 97305",45.0004597,-122.9868597,Marion,54920,above
Cherokee Central Elementary School,Cherokee,North Carolina,Tribally-Operated,"368 Elk Crossing Rd., Cherokee, NC 28719",35.5122104,-83.2962437,Cherokee,43178,below
Cherokee Central High School,Cherokee,North Carolina,Tribally-Operated,"1683 Elk Crossing Rd., Cherokee, NC 28719",35.5122104,-83.2962437,Cherokee,43178,below
Cheyenne-Eagle Butte School,Eagle Butte,South Dakota,BIE-Operated,"P.O. Box 672, Eagle Butte, SD 57625",45.0005487,-101.2368753,Dewey,37277,below
Chi Chil'tah Community School,Vanderwagen,New Mexico,BIE-Operated,"P.O. Box 278, Vanderwagen, NM 87326",35.2736493,-108.7546582,McKinley,36109,below
Chickasaw Children's Village,Kingston,Oklahoma,Tribally-Operated,"12998 Village Rd., Kingston, OK 73439",34.0156734,-96.6864157,Marshall,47769,below
Chief Leschi School System,Puyallup,Washington,Tribally-Operated,"5625 52nd Street East, Puyallup, WA 98371",47.2119048,-122.3556919,Pierce,70077,above
Chilchinbeto Community School,Kayenta,Arizona,Tribally-Operated,"P.O. Box 740, Kayenta, AZ 86033",36.7277769,-110.2545767,Navajo,43516,below
Chitimacha Tribal School,Jeanerette,Louisiana,Tribally-Operated,"3613 Chitimacha Trail, Jeanerette, LA 70544",29.8856286,-91.5322903,Iberia,51402,below
Choctaw Central High School,Choctaw,Mississippi,Tribally-Operated,"150 Recreation Rd., Choctaw, MS 39350",32.7803298,-89.226811,Choctaw,41164,below
Choctaw Central Middle School,Choctaw,Mississippi,Tribally-Operated,"152 Recreation Rd., Choctaw, MS 39350",32.7798396,-89.2237149,Choctaw,41164,below
Circle of Life Survival School,White Earth,Minnesota,Tribally-Operated,"35233 Mission Road, White Earth, MN 56591",47.076937,-95.834948,Becker,59844,above
Circle of Nations School (Wahpeton Indian Boarding School),Wahpeton,North Dakota,Tribally-Operated,"832 North 8th St., Wahpeton, ND 58075",46.2740347,-96.6117221,Richland,72409,above
Coeur d'Alene Tribal School,DeSmet,Idaho,Tribally-Operated,"P.O. Box 338, DeSmet, ID 83824",47.146785,-116.9167208,Benewah,41110,below
Conehatta Elementary School,Conehatta,Mississippi,Tribally-Operated,"851 Tushka Dr., Conehatta, MS 39057",32.4584863,-89.2696394,Newton,44720,below
Cottonwood Day School,Chinle,Arizona,BIE-Operated,"Navajo Route 4, Chinle, AZ 86503",36.0698628,-109.8095528,Apache,37095,below
Cove Day School,Red Valley,Arizona,BIE-Operated,"P.O. Box 2000, Red Valley, AZ 86544",36.6039938,-109.0603825,Apache,37095,below
